parent_name,name,footer,sort_key,header,extends
develop,1.0,,00000001.*final,,
develop,freshen,,*freshen.*final,,
develop,freshen-selenium2,,*freshen.*final-.*selenium.00000002.*final,,"[datastore_types.Key.from_path(u'System', u'sys_develop', u'SystemVersion', u'ver_freshen', _app=u'ftwkgs')]"
egov,1.0a2,,00000001.*a.00000002.*final,,"[datastore_types.Key.from_path(u'System', u'sys_izug', u'SystemVersion', u'ver_3.1.2', _app=u'ftwkgs')]"
egov,1.0a3,,00000001.*a.00000003.*final,,"[datastore_types.Key.from_path(u'System', u'sys_egov', u'SystemVersion', u'ver_1.0a2', _app=u'ftwkgs')]"
egov,1.0a4,,00000001.*a.00000004.*final,,"[datastore_types.Key.from_path(u'System', u'sys_egov', u'SystemVersion', u'ver_1.0a3', _app=u'ftwkgs')]"
egov,1.0b1,,00000001.*b.00000001.*final,,"[datastore_types.Key.from_path(u'System', u'sys_egov', u'SystemVersion', u'ver_1.0a4', _app=u'ftwkgs')]"
egov,1.0b2,,00000001.*b.00000002.*final,,"[datastore_types.Key.from_path(u'System', u'sys_egov', u'SystemVersion', u'ver_1.0b1', _app=u'ftwkgs')]"
egov,1.0b3,,00000001.*b.00000003.*final,,"[datastore_types.Key.from_path(u'System', u'sys_egov', u'SystemVersion', u'ver_1.0b2', _app=u'ftwkgs')]"
egov,1.1,,00000001.00000001.*final,,"[datastore_types.Key.from_path(u'System', u'sys_egov', u'SystemVersion', u'ver_1.0b2', _app=u'ftwkgs')]"
egov,1.1-test,,00000001.00000001.*final-.*test.*final,,"[datastore_types.Key.from_path(u'System', u'sys_egov', u'SystemVersion', u'ver_1.1', _app=u'ftwkgs')]"
egov,2.0,,00000002.*final,,
egov,2.1,,00000002.00000001.*final,,
egov,2.2,,00000002.00000002.*final,,
egov,2.3,,00000002.00000003.*final,,
egov,2.3.1,,00000002.00000003.00000001.*final,,
egov,2.3.2,,00000002.00000003.00000002.*final,,
egov,2.4.0,,00000002.00000004.*final,,
egov,2.4.1,,00000002.00000004.00000001.*final,,"[datastore_types.Key.from_path(u'System', u'sys_egov', u'SystemVersion', u'ver_2.4.0', _app=u'ftwkgs')]"
egov,2.4.2,,00000002.00000004.00000002.*final,,"[datastore_types.Key.from_path(u'System', u'sys_egov', u'SystemVersion', u'ver_2.4.1', _app=u'ftwkgs')]"
egov,2.5.0,,00000002.00000005.*final,,"[datastore_types.Key.from_path(u'System', u'sys_egov', u'SystemVersion', u'ver_2.4.2', _app=u'ftwkgs')]"
egov,2.5.1,,00000002.00000005.00000001.*final,,"[datastore_types.Key.from_path(u'System', u'sys_egov', u'SystemVersion', u'ver_2.5.0', _app=u'ftwkgs')]"
egov,2.5.2,,00000002.00000005.00000002.*final,,"[datastore_types.Key.from_path(u'System', u'sys_egov', u'SystemVersion', u'ver_2.5.1', _app=u'ftwkgs')]"
egov,3.0,,00000003.*final,,"[datastore_types.Key.from_path(u'System', u'sys_egov', u'SystemVersion', u'ver_3.0rc8', _app=u'ftwkgs')]"
egov,3.0.1,,00000003.00000000.00000001.*final,,"[datastore_types.Key.from_path(u'System', u'sys_egov', u'SystemVersion', u'ver_3.0', _app=u'ftwkgs')]"
egov,3.0rc1,,00000003.*c.00000001.*final,,"[datastore_types.Key.from_path(u'System', u'sys_egov', u'SystemVersion', u'ver_2.5.1', _app=u'ftwkgs')]"
egov,3.0rc2,,00000003.*c.00000002.*final,,"[datastore_types.Key.from_path(u'System', u'sys_egov', u'SystemVersion', u'ver_3.0rc1', _app=u'ftwkgs')]"
egov,3.0rc3,,00000003.*c.00000003.*final,,"[datastore_types.Key.from_path(u'System', u'sys_egov', u'SystemVersion', u'ver_3.0rc2', _app=u'ftwkgs')]"
egov,3.0rc4,,00000003.*c.00000004.*final,,"[datastore_types.Key.from_path(u'System', u'sys_egov', u'SystemVersion', u'ver_3.0rc3', _app=u'ftwkgs')]"
egov,3.0rc5,,00000003.*c.00000005.*final,,"[datastore_types.Key.from_path(u'System', u'sys_egov', u'SystemVersion', u'ver_3.0rc4', _app=u'ftwkgs')]"
egov,3.0rc6,,00000003.*c.00000006.*final,,"[datastore_types.Key.from_path(u'System', u'sys_egov', u'SystemVersion', u'ver_3.0rc5', _app=u'ftwkgs')]"
egov,3.0rc7,,00000003.*c.00000007.*final,,"[datastore_types.Key.from_path(u'System', u'sys_egov', u'SystemVersion', u'ver_3.0rc6', _app=u'ftwkgs')]"
egov,3.0rc8,,00000003.*c.00000008.*final,,"[datastore_types.Key.from_path(u'System', u'sys_egov', u'SystemVersion', u'ver_3.0rc7', _app=u'ftwkgs')]"
egov,3.1a1,,00000003.00000001.*a.00000001.*final,,"[datastore_types.Key.from_path(u'System', u'sys_egov', u'SystemVersion', u'ver_3.0.1', _app=u'ftwkgs')]"
egov,egov 3.0.2,,*egov.* .00000003.00000000.00000002.*final,,
finanzen.bs,1.0c1,,00000001.*c.00000001.*final,,"[datastore_types.Key.from_path(u'System', u'sys_egov', u'SystemVersion', u'ver_1.1', _app=u'ftwkgs')]"
ftw.publisher,1.0b1,,00000001.*b.00000001.*final,,
ftw.publisher,1.0c1,,00000001.*c.00000001.*final,,"[datastore_types.Key.from_path(u'System', u'sys_ftw.publisher', u'SystemVersion', u'ver_1.0b1', _app=u'ftwkgs')]"
ftw.publisher,1.0c2,,00000001.*c.00000002.*final,,"[datastore_types.Key.from_path(u'System', u'sys_ftw.publisher', u'SystemVersion', u'ver_1.0c1', _app=u'ftwkgs')]"
ftw.publisher,1.5,,00000001.00000005.*final,,"[datastore_types.Key.from_path(u'System', u'sys_ftw.publisher', u'SystemVersion', u'ver_1.0c2', _app=u'ftwkgs')]"
ftw.publisher,newest,,*newest.*final,,"[datastore_types.Key.from_path(u'System', u'sys_ftw.publisher', u'SystemVersion', u'ver_1.0c2', _app=u'ftwkgs')]"
izug,3.0.1,,00000003.00000000.00000001.*final,,
izug,3.1.0,,00000003.00000001.*final,,"[datastore_types.Key.from_path(u'System', u'sys_izug', u'SystemVersion', u'ver_3.0.1', _app=u'ftwkgs')]"
izug,3.1.1,,00000003.00000001.00000001.*final,,"[datastore_types.Key.from_path(u'System', u'sys_izug', u'SystemVersion', u'ver_3.1.0', _app=u'ftwkgs')]"
izug,3.1.2,,00000003.00000001.00000002.*final,,"[datastore_types.Key.from_path(u'System', u'sys_izug', u'SystemVersion', u'ver_3.1.1', _app=u'ftwkgs')]"
izug,3.2-preview,,00000003.00000002.*c.*final,,"[datastore_types.Key.from_path(u'System', u'sys_develop', u'SystemVersion', u'ver_1.0', _app=u'ftwkgs'), datastore_types.Key.from_path(u'System', u'sys_izug', u'SystemVersion', u'ver_3.1.2', _app=u'ftwkgs')]"
izug,3.2.1,,00000003.00000002.00000001.*final,,"[datastore_types.Key.from_path(u'System', u'sys_ftw.publisher', u'SystemVersion', u'ver_newest', _app=u'ftwkgs'), datastore_types.Key.from_path(u'System', u'sys_izug', u'SystemVersion', u'ver_3.2-preview', _app=u'ftwkgs')]"
izug,3.2.2,,00000003.00000002.00000002.*final,,"[datastore_types.Key.from_path(u'System', u'sys_izug', u'SystemVersion', u'ver_3.2.1', _app=u'ftwkgs')]"
izug,3.3.0,,00000003.00000003.*final,,"[datastore_types.Key.from_path(u'System', u'sys_izug', u'SystemVersion', u'ver_3.2.2', _app=u'ftwkgs')]"
izug,3.3.1,,00000003.00000003.00000001.*final,,"[datastore_types.Key.from_path(u'System', u'sys_izug', u'SystemVersion', u'ver_3.3.0', _app=u'ftwkgs')]"
izug,3.4.0,,00000003.00000004.*final,,"[datastore_types.Key.from_path(u'System', u'sys_izug', u'SystemVersion', u'ver_3.3.1', _app=u'ftwkgs')]"
izug,3.4.1,,00000003.00000004.00000001.*final,,"[datastore_types.Key.from_path(u'System', u'sys_izug', u'SystemVersion', u'ver_3.4.0', _app=u'ftwkgs')]"
izug,3.5.0,,00000003.00000005.*final,,"[datastore_types.Key.from_path(u'System', u'sys_ftw.publisher', u'SystemVersion', u'ver_1.5', _app=u'ftwkgs'), datastore_types.Key.from_path(u'System', u'sys_izug', u'SystemVersion', u'ver_3.4.1', _app=u'ftwkgs')]"
izug,3.5.1,,00000003.00000005.00000001.*final,,"[datastore_types.Key.from_path(u'System', u'sys_izug', u'SystemVersion', u'ver_3.5.0', _app=u'ftwkgs')]"
izug,3.5.2,,00000003.00000005.00000002.*final,,"[datastore_types.Key.from_path(u'System', u'sys_izug', u'SystemVersion', u'ver_3.5.1', _app=u'ftwkgs')]"
izug,3.6.0,,00000003.00000006.*final,,"[datastore_types.Key.from_path(u'System', u'sys_izug', u'SystemVersion', u'ver_3.5.2', _app=u'ftwkgs')]"
izug,3.6.1,,00000003.00000006.00000001.*final,,"[datastore_types.Key.from_path(u'System', u'sys_izug', u'SystemVersion', u'ver_3.6.0', _app=u'ftwkgs')]"
izug,3.6.2,,00000003.00000006.00000002.*final,,"[datastore_types.Key.from_path(u'System', u'sys_izug', u'SystemVersion', u'ver_3.6.1', _app=u'ftwkgs')]"
izug,3.7.0,,00000003.00000007.*final,,"[datastore_types.Key.from_path(u'System', u'sys_izug', u'SystemVersion', u'ver_3.6.2', _app=u'ftwkgs')]"
izug,3.7.1,,00000003.00000007.00000001.*final,,"[datastore_types.Key.from_path(u'System', u'sys_izug', u'SystemVersion', u'ver_3.7.0', _app=u'ftwkgs')]"
izug,3.7.2,,00000003.00000007.00000002.*final,,"[datastore_types.Key.from_path(u'System', u'sys_izug', u'SystemVersion', u'ver_3.7.1', _app=u'ftwkgs')]"
izug,develop-next,,*develop.*final-.*next.*final,,"[datastore_types.Key.from_path(u'System', u'sys_izug', u'SystemVersion', u'ver_3.6.0', _app=u'ftwkgs')]"
izug,izug 3.5.2,,*izug.* .00000003.00000005.00000002.*final,,"[datastore_types.Key.from_path(u'System', u'sys_izug', u'SystemVersion', u'ver_3.5.1', _app=u'ftwkgs')]"
og-celery,2.4,,00000002.00000004.*final,,
opengever,2.0,,00000002.*final,,"[datastore_types.Key.from_path(u'System', u'sys_opengever', u'SystemVersion', u'ver_2.0c4', _app=u'ftwkgs')]"
opengever,2.0.1,,00000002.00000000.00000001.*final,,"[datastore_types.Key.from_path(u'System', u'sys_opengever', u'SystemVersion', u'ver_2.0', _app=u'ftwkgs')]"
opengever,2.0.2,,00000002.00000000.00000002.*final,,"[datastore_types.Key.from_path(u'System', u'sys_opengever', u'SystemVersion', u'ver_2.0.1', _app=u'ftwkgs')]"
opengever,2.0.3,,00000002.00000000.00000003.*final,,"[datastore_types.Key.from_path(u'System', u'sys_opengever', u'SystemVersion', u'ver_2.0.2', _app=u'ftwkgs')]"
opengever,2.0a1,,00000002.*a.00000001.*final,,
opengever,2.0a2,,00000002.*a.00000002.*final,,"[datastore_types.Key.from_path(u'System', u'sys_opengever', u'SystemVersion', u'ver_2.0a1', _app=u'ftwkgs')]"
opengever,2.0a3,,00000002.*a.00000003.*final,,"[datastore_types.Key.from_path(u'System', u'sys_opengever', u'SystemVersion', u'ver_2.0a2', _app=u'ftwkgs')]"
opengever,2.0b1,,00000002.*b.00000001.*final,,"[datastore_types.Key.from_path(u'System', u'sys_opengever', u'SystemVersion', u'ver_2.0a3', _app=u'ftwkgs')]"
opengever,2.0b2,,00000002.*b.00000002.*final,,"[datastore_types.Key.from_path(u'System', u'sys_opengever', u'SystemVersion', u'ver_2.0b1', _app=u'ftwkgs')]"
opengever,2.0b3,,00000002.*b.00000003.*final,,"[datastore_types.Key.from_path(u'System', u'sys_opengever', u'SystemVersion', u'ver_2.0b2', _app=u'ftwkgs')]"
opengever,2.0b4,,00000002.*b.00000004.*final,,"[datastore_types.Key.from_path(u'System', u'sys_opengever', u'SystemVersion', u'ver_2.0b3', _app=u'ftwkgs')]"
opengever,2.0b5,,00000002.*b.00000005.*final,,"[datastore_types.Key.from_path(u'System', u'sys_opengever', u'SystemVersion', u'ver_2.0b4', _app=u'ftwkgs')]"
opengever,2.0b6,,00000002.*b.00000006.*final,,"[datastore_types.Key.from_path(u'System', u'sys_opengever', u'SystemVersion', u'ver_2.0b5', _app=u'ftwkgs')]"
opengever,2.0b7,,00000002.*b.00000007.*final,,"[datastore_types.Key.from_path(u'System', u'sys_opengever', u'SystemVersion', u'ver_2.0b6', _app=u'ftwkgs')]"
opengever,2.0b8,,00000002.*b.00000008.*final,,"[datastore_types.Key.from_path(u'System', u'sys_opengever', u'SystemVersion', u'ver_2.0b7', _app=u'ftwkgs')]"
opengever,2.0b9,,00000002.*b.00000009.*final,,"[datastore_types.Key.from_path(u'System', u'sys_opengever', u'SystemVersion', u'ver_2.0b8', _app=u'ftwkgs')]"
opengever,2.0c1,,00000002.*c.00000001.*final,,"[datastore_types.Key.from_path(u'System', u'sys_opengever', u'SystemVersion', u'ver_2.0b9', _app=u'ftwkgs')]"
opengever,2.0c2,,00000002.*c.00000002.*final,,"[datastore_types.Key.from_path(u'System', u'sys_opengever', u'SystemVersion', u'ver_2.0c1', _app=u'ftwkgs')]"
opengever,2.0c3,,00000002.*c.00000003.*final,,"[datastore_types.Key.from_path(u'System', u'sys_opengever', u'SystemVersion', u'ver_2.0c2', _app=u'ftwkgs')]"
opengever,2.0c4,,00000002.*c.00000004.*final,,"[datastore_types.Key.from_path(u'System', u'sys_opengever', u'SystemVersion', u'ver_2.0c3', _app=u'ftwkgs')]"
opengever,2.1,,00000002.00000001.*final,,"[datastore_types.Key.from_path(u'System', u'sys_opengever', u'SystemVersion', u'ver_2.0.3', _app=u'ftwkgs')]"
opengever,2.2,"# Products.CMFEditions = 2.1.4 <- Remove when it's part of the Plone release
# plone.app.versioningbehavior = 1.0 <- Remove when it is in dexterity kgs
# mr.developer = 1.19 # We need at least 1.18 for the git rev option
",00000002.00000002.*final,,
opengever,2.2.1,,00000002.00000002.00000001.*final,,"[datastore_types.Key.from_path(u'System', u'sys_opengever', u'SystemVersion', u'ver_2.2', _app=u'ftwkgs')]"
opengever,2.3,,00000002.00000003.*final,,"[datastore_types.Key.from_path(u'System', u'sys_opengever', u'SystemVersion', u'ver_2.2.1', _app=u'ftwkgs')]"
opengever,2.3.1,,00000002.00000003.00000001.*final,,"[datastore_types.Key.from_path(u'System', u'sys_opengever', u'SystemVersion', u'ver_2.3', _app=u'ftwkgs')]"
opengever,2.3.2,,00000002.00000003.00000002.*final,,"[datastore_types.Key.from_path(u'System', u'sys_opengever', u'SystemVersion', u'ver_2.3.1', _app=u'ftwkgs')]"
opengever,2.4,,00000002.00000004.*final,,"[datastore_types.Key.from_path(u'System', u'sys_opengever', u'SystemVersion', u'ver_2.3.1', _app=u'ftwkgs')]"
opengever,2.4.1,,00000002.00000004.00000001.*final,,"[datastore_types.Key.from_path(u'System', u'sys_opengever', u'SystemVersion', u'ver_2.4', _app=u'ftwkgs')]"
opengever,2.4.2,,00000002.00000004.00000002.*final,,"[datastore_types.Key.from_path(u'System', u'sys_opengever', u'SystemVersion', u'ver_2.4.1', _app=u'ftwkgs')]"
opengever,2.5,,00000002.00000005.*final,,
opengever,develop,,*develop.*final,,"[datastore_types.Key.from_path(u'System', u'sys_opengever', u'SystemVersion', u'ver_2.0b4', _app=u'ftwkgs')]"
opengever,opengever 2.0b7,,*opengever.* .00000002.*b.00000007.*final,,
opengever,opengever/2.0c3,,*opengever.*/.00000002.*c.00000003.*final,,"[datastore_types.Key.from_path(u'System', u'sys_opengever', u'SystemVersion', u'ver_2.0c2', _app=u'ftwkgs')]"
opengever-phvs,2.4.1,,00000002.00000004.00000001.*final,,"[datastore_types.Key.from_path(u'System', u'sys_opengever', u'SystemVersion', u'ver_2.4.1', _app=u'ftwkgs')]"
opengever-phvs,2.4.2,,00000002.00000004.00000002.*final,,"[datastore_types.Key.from_path(u'System', u'sys_opengever', u'SystemVersion', u'ver_2.4.2', _app=u'ftwkgs'), datastore_types.Key.from_path(u'System', u'sys_opengever-phvs', u'SystemVersion', u'ver_2.4.1', _app=u'ftwkgs')]"
opengever-phvs,2.5,,00000002.00000005.*final,,"[datastore_types.Key.from_path(u'System', u'sys_opengever', u'SystemVersion', u'ver_2.5', _app=u'ftwkgs')]"
opengever-zug,2.0,,00000002.*final,,"[datastore_types.Key.from_path(u'System', u'sys_opengever', u'SystemVersion', u'ver_2.0', _app=u'ftwkgs'), datastore_types.Key.from_path(u'System', u'sys_opengever-zug', u'SystemVersion', u'ver_2.0c4', _app=u'ftwkgs')]"
opengever-zug,2.0.1,,00000002.00000000.00000001.*final,,"[datastore_types.Key.from_path(u'System', u'sys_opengever', u'SystemVersion', u'ver_2.0.1', _app=u'ftwkgs'), datastore_types.Key.from_path(u'System', u'sys_opengever-zug', u'SystemVersion', u'ver_2.0', _app=u'ftwkgs')]"
opengever-zug,2.0.2,,00000002.00000000.00000002.*final,,"[datastore_types.Key.from_path(u'System', u'sys_opengever', u'SystemVersion', u'ver_2.0.2', _app=u'ftwkgs'), datastore_types.Key.from_path(u'System', u'sys_opengever-zug', u'SystemVersion', u'ver_2.0.1', _app=u'ftwkgs')]"
opengever-zug,2.0.3,,00000002.00000000.00000003.*final,,"[datastore_types.Key.from_path(u'System', u'sys_opengever', u'SystemVersion', u'ver_2.0.3', _app=u'ftwkgs'), datastore_types.Key.from_path(u'System', u'sys_opengever-zug', u'SystemVersion', u'ver_2.0.2', _app=u'ftwkgs')]"
opengever-zug,2.0b3,,00000002.*b.00000003.*final,,"[datastore_types.Key.from_path(u'System', u'sys_opengever', u'SystemVersion', u'ver_2.0b3', _app=u'ftwkgs')]"
opengever-zug,2.0b4,,00000002.*b.00000004.*final,,"[datastore_types.Key.from_path(u'System', u'sys_opengever', u'SystemVersion', u'ver_2.0b4', _app=u'ftwkgs'), datastore_types.Key.from_path(u'System', u'sys_opengever-zug', u'SystemVersion', u'ver_2.0b3', _app=u'ftwkgs')]"
opengever-zug,2.0b5,,00000002.*b.00000005.*final,,"[datastore_types.Key.from_path(u'System', u'sys_opengever', u'SystemVersion', u'ver_2.0b5', _app=u'ftwkgs'), datastore_types.Key.from_path(u'System', u'sys_opengever-zug', u'SystemVersion', u'ver_2.0b4', _app=u'ftwkgs')]"
opengever-zug,2.0b6,,00000002.*b.00000006.*final,,"[datastore_types.Key.from_path(u'System', u'sys_opengever', u'SystemVersion', u'ver_2.0b6', _app=u'ftwkgs'), datastore_types.Key.from_path(u'System', u'sys_opengever-zug', u'SystemVersion', u'ver_2.0b5', _app=u'ftwkgs')]"
opengever-zug,2.0b7,,00000002.*b.00000007.*final,,"[datastore_types.Key.from_path(u'System', u'sys_opengever', u'SystemVersion', u'ver_2.0b7', _app=u'ftwkgs'), datastore_types.Key.from_path(u'System', u'sys_opengever-zug', u'SystemVersion', u'ver_2.0b6', _app=u'ftwkgs')]"
opengever-zug,2.0b8,,00000002.*b.00000008.*final,,"[datastore_types.Key.from_path(u'System', u'sys_opengever', u'SystemVersion', u'ver_2.0b8', _app=u'ftwkgs'), datastore_types.Key.from_path(u'System', u'sys_opengever-zug', u'SystemVersion', u'ver_2.0b7', _app=u'ftwkgs')]"
opengever-zug,2.0b9,,00000002.*b.00000009.*final,,"[datastore_types.Key.from_path(u'System', u'sys_opengever', u'SystemVersion', u'ver_2.0b9', _app=u'ftwkgs'), datastore_types.Key.from_path(u'System', u'sys_opengever-zug', u'SystemVersion', u'ver_2.0b8', _app=u'ftwkgs')]"
opengever-zug,2.0c1,,00000002.*c.00000001.*final,,"[datastore_types.Key.from_path(u'System', u'sys_opengever', u'SystemVersion', u'ver_2.0c1', _app=u'ftwkgs'), datastore_types.Key.from_path(u'System', u'sys_opengever-zug', u'SystemVersion', u'ver_2.0b9', _app=u'ftwkgs')]"
opengever-zug,2.0c2,,00000002.*c.00000002.*final,,"[datastore_types.Key.from_path(u'System', u'sys_opengever', u'SystemVersion', u'ver_2.0c2', _app=u'ftwkgs'), datastore_types.Key.from_path(u'System', u'sys_opengever-zug', u'SystemVersion', u'ver_2.0c1', _app=u'ftwkgs')]"
opengever-zug,2.0c3,,00000002.*c.00000003.*final,,"[datastore_types.Key.from_path(u'System', u'sys_opengever', u'SystemVersion', u'ver_2.0c3', _app=u'ftwkgs'), datastore_types.Key.from_path(u'System', u'sys_opengever-zug', u'SystemVersion', u'ver_2.0c2', _app=u'ftwkgs')]"
opengever-zug,2.0c4,,00000002.*c.00000004.*final,,"[datastore_types.Key.from_path(u'System', u'sys_opengever', u'SystemVersion', u'ver_2.0c4', _app=u'ftwkgs'), datastore_types.Key.from_path(u'System', u'sys_opengever-zug', u'SystemVersion', u'ver_2.0c3', _app=u'ftwkgs')]"
opengever-zug,2.1,,00000002.00000001.*final,,
opengever-zug,2.1.1,,00000002.00000001.00000001.*final,,"[datastore_types.Key.from_path(u'System', u'sys_opengever-zug', u'SystemVersion', u'ver_2.1', _app=u'ftwkgs')]"
opengever-zug,2.2,,00000002.00000002.*final,,"[datastore_types.Key.from_path(u'System', u'sys_opengever', u'SystemVersion', u'ver_2.2', _app=u'ftwkgs')]"
opengever-zug,2.2.1,,00000002.00000002.00000001.*final,,"[datastore_types.Key.from_path(u'System', u'sys_opengever', u'SystemVersion', u'ver_2.2.1', _app=u'ftwkgs'), datastore_types.Key.from_path(u'System', u'sys_opengever-zug', u'SystemVersion', u'ver_2.2', _app=u'ftwkgs')]"
opengever-zug,2.3,,00000002.00000003.*final,,"[datastore_types.Key.from_path(u'System', u'sys_opengever', u'SystemVersion', u'ver_2.3', _app=u'ftwkgs'), datastore_types.Key.from_path(u'System', u'sys_opengever-zug', u'SystemVersion', u'ver_2.2.1', _app=u'ftwkgs')]"
opengever-zug,2.3.1,,00000002.00000003.00000001.*final,,"[datastore_types.Key.from_path(u'System', u'sys_opengever', u'SystemVersion', u'ver_2.3.1', _app=u'ftwkgs'), datastore_types.Key.from_path(u'System', u'sys_opengever-zug', u'SystemVersion', u'ver_2.3', _app=u'ftwkgs')]"
opengever-zug,2.3.2,,00000002.00000003.00000002.*final,,"[datastore_types.Key.from_path(u'System', u'sys_opengever', u'SystemVersion', u'ver_2.3.2', _app=u'ftwkgs'), datastore_types.Key.from_path(u'System', u'sys_opengever-zug', u'SystemVersion', u'ver_2.3.1', _app=u'ftwkgs')]"
opengever-zug,2.4,,00000002.00000004.*final,,"[datastore_types.Key.from_path(u'System', u'sys_opengever', u'SystemVersion', u'ver_2.4', _app=u'ftwkgs'), datastore_types.Key.from_path(u'System', u'sys_opengever-zug', u'SystemVersion', u'ver_2.3.2', _app=u'ftwkgs')]"
opengever-zug,2.5,,00000002.00000005.*final,,"[datastore_types.Key.from_path(u'System', u'sys_opengever', u'SystemVersion', u'ver_2.5', _app=u'ftwkgs')]"
teamraum,3.0.2,,00000003.00000000.00000002.*final,,"[datastore_types.Key.from_path(u'System', u'sys_teamraum-3rdparty', u'SystemVersion', u'ver_3.0.2', _app=u'ftwkgs')]"
teamraum,3.0.2.1,,00000003.00000000.00000002.00000001.*final,,"[datastore_types.Key.from_path(u'System', u'sys_teamraum', u'SystemVersion', u'ver_3.0.2', _app=u'ftwkgs')]"
teamraum,3.0.2.2,,00000003.00000000.00000002.00000002.*final,,"[datastore_types.Key.from_path(u'System', u'sys_teamraum', u'SystemVersion', u'ver_3.0.2.1', _app=u'ftwkgs'), datastore_types.Key.from_path(u'System', u'sys_teamraum-3rdparty', u'SystemVersion', u'ver_3.0.2.2', _app=u'ftwkgs')]"
teamraum,3.0.2.3,,00000003.00000000.00000002.00000003.*final,,"[datastore_types.Key.from_path(u'System', u'sys_teamraum', u'SystemVersion', u'ver_3.0.2.2', _app=u'ftwkgs')]"
teamraum,3.0.2.4,,00000003.00000000.00000002.00000004.*final,,"[datastore_types.Key.from_path(u'System', u'sys_teamraum', u'SystemVersion', u'ver_3.0.2.3', _app=u'ftwkgs'), datastore_types.Key.from_path(u'System', u'sys_teamraum-3rdparty', u'SystemVersion', u'ver_3.0.2.3', _app=u'ftwkgs')]"
teamraum,3.1,,00000003.00000001.*final,,"[datastore_types.Key.from_path(u'System', u'sys_teamraum', u'SystemVersion', u'ver_3.0.2.4', _app=u'ftwkgs'), datastore_types.Key.from_path(u'System', u'sys_teamraum-3rdparty', u'SystemVersion', u'ver_3.1', _app=u'ftwkgs')]"
teamraum,4.x,,00000004.*x.*final,,"[datastore_types.Key.from_path(u'System', u'sys_teamraum', u'SystemVersion', u'ver_3.1', _app=u'ftwkgs'), datastore_types.Key.from_path(u'System', u'sys_teamraum-3rdparty', u'SystemVersion', u'ver_4.0', _app=u'ftwkgs')]"
teamraum,develop-latest,,*develop.*final-.*latest.*final,,"[datastore_types.Key.from_path(u'System', u'sys_teamraum', u'SystemVersion', u'ver_3.1', _app=u'ftwkgs'), datastore_types.Key.from_path(u'System', u'sys_teamraum-3rdparty', u'SystemVersion', u'ver_3.1', _app=u'ftwkgs')]"
teamraum-3rdparty,3.0.2,,00000003.00000000.00000002.*final,,
teamraum-3rdparty,3.0.2.2,,00000003.00000000.00000002.00000002.*final,,"[datastore_types.Key.from_path(u'System', u'sys_teamraum-3rdparty', u'SystemVersion', u'ver_3.0.2', _app=u'ftwkgs')]"
teamraum-3rdparty,3.0.2.3,,00000003.00000000.00000002.00000003.*final,,"[datastore_types.Key.from_path(u'System', u'sys_teamraum-3rdparty', u'SystemVersion', u'ver_3.0.2.2', _app=u'ftwkgs')]"
teamraum-3rdparty,3.1,,00000003.00000001.*final,,"[datastore_types.Key.from_path(u'System', u'sys_teamraum-3rdparty', u'SystemVersion', u'ver_3.0.2.3', _app=u'ftwkgs')]"
teamraum-3rdparty,4.0,,00000004.*final,,
